OBJECTID,KBIF ID,Facility Name,Facility Street Address,City Name,State,Zip Code ,County Name,Area Development District,NAICS Code,Building Sq Footage,Number of Employees,Average Trucks per Day,Truck Bays,Average Trains Week,Facility Length of Rail,Number of Rail Doors,Prior CHAF ID,Completed CHAF ID,Existing CHAF ID,Intermodal Connector Needs,Comments,Meets Criteria,Area Development District Name,County Number,District Number,District Name,RT Unique,Road Name,Route Prefix,Route Suffix,Route Label,Update Indicator,GUID_Str,End Active Date,GlobalID,last_edited_date,created_user,created_date,last_edited_user,MP,RT_NUMBER,x,y
1267,0,Cemex,958 Delaware Ave,Lexington,KY,40505,Fayette,BGADD, ,73117,0,20,10,0,1500,0, , , , ,"NEW FEATURE; Has rail access, unknown if it is currently used, ADT EST",YES,BLUEGRASS ADD,34,7,Lexington,,,,,,2,4F45BA35-CF0D-4340-8CFF-A63B4365B035,,38037cf4-ca6a-48ad-89da-63c023e54167,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9403490.3916,4584889.1179
1268,0,MMTPS,5756 Limaburg Rd,Burlington,KY,41005,Boone,NKADD,5199,16500,5,14,7,0,0,0, , , , ,NEW FEATURE,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,5B92437C-6A46-4A43-AE07-A6427C72E8AD,,577d334e-8cee-471e-a177-9008996877f6,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9427410.613,4724910.066
1269,0,Frito Lay,2121 Plantside Dr,Jeffersontown,KY,40299,Jefferson,KIPDA,493110,80000,5,62,31,0,0,0,, , , , ,YES,KIPDA ADD,56,5,Louisville,,,,,,2,E27DD873-A53D-4BF6-9449-A66135A6D59A,,ab4a507f-7f5e-4dec-8d98-a886911cfd60,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9525579.8904,4609787.5757
1270,1568,Nationwide Uniform Corp,235 Shepherdsville Rd,Hodgenville,KY,42748-9468,LaRue,LTADD,315280,130000,250,8,2,0,0,0, , , , , ,YES,LINCOLN TRAIL ADD,62,4,Elizabethtown,,,,,,2,9562E258-FAD0-4AE6-86D6-A67E8EA25506,,07f9fb4d-165b-464c-b574-985b8a14245b,6/3/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9544389.7,4521221.7
1271,0,FedEx Freight,5501 Burnt Pine Way,Louisville,KY,40228,Jefferson,KIPDA,484122,150000,90,520,260,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,05C29278-0F1B-4BE9-908C-A67FECD3CAE4,,6b16c3e4-bd19-493c-ba93-728c6107cb1e,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9533588.8911,4604221.1088
1272,571,Cintas Corporation,100 Westhampton Drive,Lexington,KY,40511-,Fayette,BGADD,812332,47429,157,26,13,0,0,0, , , , ,"MOVED FEATURE; EMPLYMT, ATD EST",YES,BLUEGRASS ADD,34,7,Lexington,,,,,,2,BAE229EC-53CE-4041-8088-A6930207523D,,db294921-4563-4062-b481-5b4ddf5e1293,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9411010.3984,4590435.3846
1273,1773,Stry-Lenkoff Co LLC,1100 W Broadway,Louisville,KY,40203-2033,Jefferson,KIPDA,323120,300000,95,6,3,0,0,0,IP20210151, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,58FE9A44-9644-461C-B5EB-A6D2BF343D4F,,4b570291-5beb-4f7e-bd9a-ee125af734b7,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9548011.4416,4614371.4786
1274,0,Tenryu America Inc,3601 Hargrave Dr,Hebron,KY, ,Boone,NKADD,31,25000,0,3,3,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,32082EFF-24A9-4011-AD5D-A7415DC7FB05,,1b5622e4-bb90-450e-ab6b-eb317b8edd3d,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9429565.4373,4730111.8651
1275,0,Glier's Meats Inc,533 Goetta Pl,Covington,KY, ,Kenton,NKADD,72,14500,0,1,1,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,59,6,Covington,,,,,,2,3F469E26-0277-44F9-B99C-A74AAB99BC55,,0026d831-f2cd-4934-944e-7e2146e76500,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9408521.325,4732757.5008
1276,0,Grupo Antolin Kentucky Inc,12530 Westport Road,Louisville,KY,40245,Jefferson,KIPDA,336360,64000,210,22,11,0,0,0, , , , ,2024 UPDATE STREET,YES,KIPDA ADD,56,5,Louisville,,,,,,2,B67AFCA7-0B10-4F41-A076-A76A50C8CBC0,,22c8876a-f78d-4289-b616-87d419975fa5,6/18/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9520047.4517,4622175.8198
