Measure Names,Port Name,State,Year,Port Code,Measure Values
Imports,New York and New Jersey,New Jersey,2021,C0398,"85,961,606"
Total (tons),New York and New Jersey,New York,2010,C0398,"139,198,215"
Domestic,New York and New Jersey,New York,2010,C0398,"55,483,848"
Foreign Total,New York and New Jersey,New York,2010,C0398,"83,714,367"
Exports,New York and New Jersey,New York,2010,C0398,"19,830,359"
Imports,New York and New Jersey,New York,2010,C0398,"63,884,008"
Total (tons),New York and New Jersey,New York,2017,C0398,"135,874,693"
Domestic,New York and New Jersey,New York,2017,C0398,"46,980,071"
Foreign Total,New York and New Jersey,New York,2017,C0398,"88,894,622"
Exports,New York and New Jersey,New York,2017,C0398,"19,750,688"
Imports,New York and New Jersey,New York,2017,C0398,"69,143,934"
Total (tons),New York and New Jersey,New York,2018,C0398,"140,281,992"
Domestic,New York and New Jersey,New York,2018,C0398,"46,650,355"
Foreign Total,New York and New Jersey,New York,2018,C0398,"93,631,637"
Exports,New York and New Jersey,New York,2018,C0398,"18,741,148"
Imports,New York and New Jersey,New York,2018,C0398,"74,890,489"
Total (tons),New York and New Jersey,New York,2019,C0398,"136,575,034"
Domestic,New York and New Jersey,New York,2019,C0398,"45,324,727"
Foreign Total,New York and New Jersey,New York,2019,C0398,"91,250,307"
Exports,New York and New Jersey,New York,2019,C0398,"17,727,381"
Imports,New York and New Jersey,New York,2019,C0398,"73,522,926"
Total (tons),New York and New Jersey,New York,2020,C0398,"123,697,438"
Domestic,New York and New Jersey,New York,2020,C0398,"40,087,797"
Foreign Total,New York and New Jersey,New York,2020,C0398,"83,609,641"
Exports,New York and New Jersey,New York,2020,C0398,"15,252,563"
Imports,New York and New Jersey,New York,2020,C0398,"68,357,078"
Total (tons),Newport News,Virginia,2010,C0736,"20,839,227"
Domestic,Newport News,Virginia,2010,C0736,"4,280,717"
Foreign Total,Newport News,Virginia,2010,C0736,"16,558,510"
Exports,Newport News,Virginia,2010,C0736,"16,238,480"
Imports,Newport News,Virginia,2010,C0736,"320,030"
Total (tons),Nikishka,Alaska,2010,C4831,"4,851,523"
Domestic,Nikishka,Alaska,2010,C4831,"3,351,033"
Foreign Total,Nikishka,Alaska,2010,C4831,"1,500,490"
Exports,Nikishka,Alaska,2010,C4831,"769,147"
Imports,Nikishka,Alaska,2010,C4831,"731,343"
Total (tons),Nikishka,Alaska,2017,C4831,"4,668,736"
Domestic,Nikishka,Alaska,2017,C4831,"3,955,577"
Foreign Total,Nikishka,Alaska,2017,C4831,"713,159"
Exports,Nikishka,Alaska,2017,C4831,"568,171"
Imports,Nikishka,Alaska,2017,C4831,"144,988"
Total (tons),Nikishka,Alaska,2018,C4831,"4,173,279"
Domestic,Nikishka,Alaska,2018,C4831,"3,828,169"
Foreign Total,Nikishka,Alaska,2018,C4831,"345,110"
Exports,Nikishka,Alaska,2018,C4831,"255,735"
Imports,Nikishka,Alaska,2018,C4831,"89,375"
Total (tons),Nikishka,Alaska,2019,C4831,"3,645,972"
Domestic,Nikishka,Alaska,2019,C4831,"3,446,699"
Foreign Total,Nikishka,Alaska,2019,C4831,"199,273"
Exports,Nikishka,Alaska,2019,C4831,"85,539"
Imports,Nikishka,Alaska,2019,C4831,"113,734"
Total (tons),Nikishka,Alaska,2020,C4831,"2,834,713"
Domestic,Nikishka,Alaska,2020,C4831,"2,471,028"
Foreign Total,Nikishka,Alaska,2020,C4831,"363,685"
Exports,Nikishka,Alaska,2020,C4831,"18,713"
Imports,Nikishka,Alaska,2020,C4831,"344,972"
Total (tons),Nikishka,Alaska,2021,C4831,"3,512,844"
Domestic,Nikishka,Alaska,2021,C4831,"3,002,195"
Foreign Total,Nikishka,Alaska,2021,C4831,"510,649"
Exports,Nikishka,Alaska,2021,C4831,0
Imports,Nikishka,Alaska,2021,C4831,"510,649"
Total (tons),Nikiski,Alaska,2020,C4831,"2,834,713"
Domestic,Nikiski,Alaska,2020,C4831,"2,471,028"
Foreign Total,Nikiski,Alaska,2020,C4831,"363,685"
Exports,Nikiski,Alaska,2020,C4831,"18,713"
Imports,Nikiski,Alaska,2020,C4831,"344,972"
Total (tons),Nikiski,Alaska,2022,C4831,"3,542,548"
Domestic,Nikiski,Alaska,2022,C4831,"2,945,615"
Foreign Total,Nikiski,Alaska,2022,C4831,"596,933"
Exports,Nikiski,Alaska,2022,C4831,0
Imports,Nikiski,Alaska,2022,C4831,"596,933"
Total (tons),Norfolk Harbor,Virginia,2010,C5735,"41,569,373"
Domestic,Norfolk Harbor,Virginia,2010,C5735,"6,180,239"
Foreign Total,Norfolk Harbor,Virginia,2010,C5735,"35,389,134"
Exports,Norfolk Harbor,Virginia,2010,C5735,"26,594,176"
Imports,Norfolk Harbor,Virginia,2010,C5735,"8,794,958"
Total (tons),Northern Indiana District,Indiana,2022,,"25,447,430"
Domestic,Northern Indiana District,Indiana,2022,,"25,087,258"
Foreign Total,Northern Indiana District,Indiana,2022,,"360,172"
Exports,Northern Indiana District,Indiana,2022,,"70,879"
Imports,Northern Indiana District,Indiana,2022,,"289,293"
Total (tons),Oakland,California,2010,C4345,"18,609,728"
Domestic,Oakland,California,2010,C4345,"2,265,063"
Foreign Total,Oakland,California,2010,C4345,"16,344,665"
Exports,Oakland,California,2010,C4345,"9,609,773"
Imports,Oakland,California,2010,C4345,"6,734,892"
Total (tons),Oakland,California,2017,C4345,"19,393,310"
Domestic,Oakland,California,2017,C4345,"2,120,772"
Foreign Total,Oakland,California,2017,C4345,"17,272,538"
Exports,Oakland,California,2017,C4345,"9,837,857"
Imports,Oakland,California,2017,C4345,"7,434,681"
Total (tons),Oakland,California,2018,C4345,"19,373,876"
Domestic,Oakland,California,2018,C4345,"2,002,024"
Foreign Total,Oakland,California,2018,C4345,"17,371,852"
Exports,Oakland,California,2018,C4345,"9,369,857"
Imports,Oakland,California,2018,C4345,"8,001,995"
Total (tons),Oakland,California,2019,C4345,"19,349,104"
Domestic,Oakland,California,2019,C4345,"1,754,188"
Foreign Total,Oakland,California,2019,C4345,"17,594,916"
Exports,Oakland,California,2019,C4345,"9,652,320"
Imports,Oakland,California,2019,C4345,"7,942,596"
Total (tons),Oakland,California,2020,C4345,"19,439,762"
Domestic,Oakland,California,2020,C4345,"1,313,835"
Foreign Total,Oakland,California,2020,C4345,"18,125,927"
Exports,Oakland,California,2020,C4345,"9,605,785"
Imports,Oakland,California,2020,C4345,"8,520,142"
Total (tons),Oakland,California,2021,C4345,"18,888,765"
Domestic,Oakland,California,2021,C4345,"772,576"
Foreign Total,Oakland,California,2021,C4345,"18,116,189"
Exports,Oakland,California,2021,C4345,"9,296,254"
Imports,Oakland,California,2021,C4345,"8,819,935"
Total (tons),Olympia,Washington,2010,C4718,"1,269,250"
Domestic,Olympia,Washington,2010,C4718,"616,770"
Foreign Total,Olympia,Washington,2010,C4718,"652,480"
Exports,Olympia,Washington,2010,C4718,"582,229"
Imports,Olympia,Washington,2010,C4718,"70,251"
Total (tons),Olympia,Washington,2017,C4718,"1,089,375"
Domestic,Olympia,Washington,2017,C4718,"454,560"
Foreign Total,Olympia,Washington,2017,C4718,"634,815"
Exports,Olympia,Washington,2017,C4718,"611,303"
Imports,Olympia,Washington,2017,C4718,"23,512"
Total (tons),Olympia,Washington,2018,C4718,"820,111"
Domestic,Olympia,Washington,2018,C4718,"256,640"
Foreign Total,Olympia,Washington,2018,C4718,"563,471"
Exports,Olympia,Washington,2018,C4718,"563,471"
Imports,Olympia,Washington,2018,C4718,
Total (tons),Orange,Texas,2018,C2394,"1,235,508"
Domestic,Orange,Texas,2018,C2394,"1,235,375"
Foreign Total,Orange,Texas,2018,C2394,133
Exports,Orange,Texas,2018,C2394,37
Imports,Orange,Texas,2018,C2394,96
Total (tons),Orange,Texas,2019,C2394,"1,574,470"
Domestic,Orange,Texas,2019,C2394,"1,574,401"
Foreign Total,Orange,Texas,2019,C2394,69
Exports,Orange,Texas,2019,C2394,
Imports,Orange,Texas,2019,C2394,69
Total (tons),Orange,Texas,2020,C2394,"4,094,815"
Domestic,Orange,Texas,2020,C2394,"4,094,719"
Foreign Total,Orange,Texas,2020,C2394,96
Exports,Orange,Texas,2020,C2394,
Imports,Orange,Texas,2020,C2394,96
Total (tons),Orange,Texas,2021,C2394,"2,315,106"
Domestic,Orange,Texas,2021,C2394,"2,297,519"
Foreign Total,Orange,Texas,2021,C2394,"17,587"
Exports,Orange,Texas,2021,C2394,"16,868"
Imports,Orange,Texas,2021,C2394,719
Total (tons),Orange County Nav District,Texas,2020,C2394,"4,094,815"
Domestic,Orange County Nav District,Texas,2020,C2394,"4,094,719"
Foreign Total,Orange County Nav District,Texas,2020,C2394,96
Exports,Orange County Nav District,Texas,2020,C2394,0
Imports,Orange County Nav District,Texas,2020,C2394,96
Total (tons),Orange County Nav District,Texas,2022,C2394,"4,067,804"
Domestic,Orange County Nav District,Texas,2022,C2394,"4,067,804"
Foreign Total,Orange County Nav District,Texas,2022,C2394,0
Exports,Orange County Nav District,Texas,2022,C2394,0
Imports,Orange County Nav District,Texas,2022,C2394,0
Total (tons),Ottawa,Illinois,2019,,"1,202,801"
Domestic,Ottawa,Illinois,2019,,"1,202,801"
Foreign Total,Ottawa,Illinois,2019,,
Exports,Ottawa,Illinois,2019,,
Imports,Ottawa,Illinois,2019,,
Total (tons),Ottawa,Illinois,2021,,"1,250,282"
Domestic,Ottawa,Illinois,2021,,"1,250,282"
Foreign Total,Ottawa,Illinois,2021,,0
Exports,Ottawa,Illinois,2021,,0
Imports,Ottawa,Illinois,2021,,0
Total (tons),Ottawa Port District,Illinois,2022,,"1,193,440"
Domestic,Ottawa Port District,Illinois,2022,,"1,193,440"
Foreign Total,Ottawa Port District,Illinois,2022,,0
Exports,Ottawa Port District,Illinois,2022,,0
Imports,Ottawa Port District,Illinois,2022,,0
Total (tons),Owensboro,Kentucky,2017,I2331,"3,172,608"
Domestic,Owensboro,Kentucky,2017,I2331,"3,172,608"
Foreign Total,Owensboro,Kentucky,2017,I2331,
Exports,Owensboro,Kentucky,2017,I2331,
Imports,Owensboro,Kentucky,2017,I2331,
Total (tons),Owensboro,Kentucky,2018,I2331,"2,872,596"
Domestic,Owensboro,Kentucky,2018,I2331,"2,872,596"
Foreign Total,Owensboro,Kentucky,2018,I2331,
Exports,Owensboro,Kentucky,2018,I2331,
Imports,Owensboro,Kentucky,2018,I2331,
Total (tons),Owensboro,Kentucky,2019,I2331,"2,559,487"
Domestic,Owensboro,Kentucky,2019,I2331,"2,559,487"
Foreign Total,Owensboro,Kentucky,2019,I2331,
Exports,Owensboro,Kentucky,2019,I2331,
Imports,Owensboro,Kentucky,2019,I2331,
Total (tons),Owensboro,Kentucky,2020,I2331,"2,810,704"
Domestic,Owensboro,Kentucky,2020,I2331,"2,810,704"
Foreign Total,Owensboro,Kentucky,2020,I2331,
Exports,Owensboro,Kentucky,2020,I2331,
Imports,Owensboro,Kentucky,2020,I2331,
Total (tons),Owensboro,Kentucky,2021,I2331,"2,815,317"
Domestic,Owensboro,Kentucky,2021,I2331,"2,815,317"
Foreign Total,Owensboro,Kentucky,2021,I2331,0
Exports,Owensboro,Kentucky,2021,I2331,0
Imports,Owensboro,Kentucky,2021,I2331,0
Total (tons),Owensboro Riverport,Kentucky,2020,I2331,"2,810,704"
Domestic,Owensboro Riverport,Kentucky,2020,I2331,"2,810,704"
Foreign Total,Owensboro Riverport,Kentucky,2020,I2331,0
Exports,Owensboro Riverport,Kentucky,2020,I2331,0
Imports,Owensboro Riverport,Kentucky,2020,I2331,0
Total (tons),Owensboro Riverport,Kentucky,2022,I2331,"2,602,530"
Domestic,Owensboro Riverport,Kentucky,2022,I2331,"2,602,530"
Foreign Total,Owensboro Riverport,Kentucky,2022,I2331,0
Exports,Owensboro Riverport,Kentucky,2022,I2331,0
Imports,Owensboro Riverport,Kentucky,2022,I2331,0
Total (tons),Oxnard Harbor District,California,2020,,"1,844,182"
Domestic,Oxnard Harbor District,California,2020,,"15,176"
Foreign Total,Oxnard Harbor District,California,2020,,"1,829,006"
Exports,Oxnard Harbor District,California,2020,,"122,459"
Imports,Oxnard Harbor District,California,2020,,"1,706,547"
Total (tons),Oxnard Harbor District,California,2022,,"3,158,031"
Domestic,Oxnard Harbor District,California,2022,,0
Foreign Total,Oxnard Harbor District,California,2022,,"3,158,031"
Exports,Oxnard Harbor District,California,2022,,"787,819"
Imports,Oxnard Harbor District,California,2022,,"2,370,212"
Total (tons),Paducah-McCracken County Riverport,Kentucky,2017,I2302,"1,374,375"
Domestic,Paducah-McCracken County Riverport,Kentucky,2017,I2302,"1,374,375"
Foreign Total,Paducah-McCracken County Riverport,Kentucky,2017,I2302,
Exports,Paducah-McCracken County Riverport,Kentucky,2017,I2302,
Imports,Paducah-McCracken County Riverport,Kentucky,2017,I2302,
Total (tons),Paducah-McCracken County Riverport,Kentucky,2018,I2302,"1,813,468"
Domestic,Paducah-McCracken County Riverport,Kentucky,2018,I2302,"1,813,468"
Foreign Total,Paducah-McCracken County Riverport,Kentucky,2018,I2302,
Exports,Paducah-McCracken County Riverport,Kentucky,2018,I2302,
Imports,Paducah-McCracken County Riverport,Kentucky,2018,I2302,
Total (tons),Paducah-McCracken County Riverport,Kentucky,2019,I2302,"3,018,053"
Domestic,Paducah-McCracken County Riverport,Kentucky,2019,I2302,"3,018,053"
Foreign Total,Paducah-McCracken County Riverport,Kentucky,2019,I2302,
Exports,Paducah-McCracken County Riverport,Kentucky,2019,I2302,
Imports,Paducah-McCracken County Riverport,Kentucky,2019,I2302,
Total (tons),Paducah-McCracken County Riverport,Kentucky,2020,I2302,"5,004,903"
Domestic,Paducah-McCracken County Riverport,Kentucky,2020,I2302,"5,004,903"
Foreign Total,Paducah-McCracken County Riverport,Kentucky,2020,I2302,
Exports,Paducah-McCracken County Riverport,Kentucky,2020,I2302,
Imports,Paducah-McCracken County Riverport,Kentucky,2020,I2302,
Total (tons),Paducah-McCracken County Riverport,Kentucky,2021,I2302,"7,661,879"
Domestic,Paducah-McCracken County Riverport,Kentucky,2021,I2302,"7,661,879"
Foreign Total,Paducah-McCracken County Riverport,Kentucky,2021,I2302,0
Exports,Paducah-McCracken County Riverport,Kentucky,2021,I2302,0
Imports,Paducah-McCracken County Riverport,Kentucky,2021,I2302,0
Total (tons),Paducah-McCracken Riverport,Kentucky,2020,I2302,"5,004,903"
Domestic,Paducah-McCracken Riverport,Kentucky,2020,I2302,"5,004,903"
Foreign Total,Paducah-McCracken Riverport,Kentucky,2020,I2302,0
Exports,Paducah-McCracken Riverport,Kentucky,2020,I2302,0
Imports,Paducah-McCracken Riverport,Kentucky,2020,I2302,0
Total (tons),Paducah-McCracken Riverport,Kentucky,2022,I2302,"7,201,132"
Domestic,Paducah-McCracken Riverport,Kentucky,2022,I2302,"7,201,132"
Foreign Total,Paducah-McCracken Riverport,Kentucky,2022,I2302,0
Exports,Paducah-McCracken Riverport,Kentucky,2022,I2302,0
Imports,Paducah-McCracken Riverport,Kentucky,2022,I2302,0
Total (tons),Palm Beach,Florida,2010,C2162,"2,374,251"
Domestic,Palm Beach,Florida,2010,C2162,"894,971"
Foreign Total,Palm Beach,Florida,2010,C2162,"1,479,280"
Exports,Palm Beach,Florida,2010,C2162,"989,875"
Imports,Palm Beach,Florida,2010,C2162,"489,405"
Total (tons),Palm Beach,Florida,2017,C2162,"2,470,562"
Domestic,Palm Beach,Florida,2017,C2162,"826,920"
Foreign Total,Palm Beach,Florida,2017,C2162,"1,643,642"
Exports,Palm Beach,Florida,2017,C2162,"1,298,600"
Imports,Palm Beach,Florida,2017,C2162,"345,042"
Total (tons),Palm Beach,Florida,2018,C2162,"2,094,734"
Domestic,Palm Beach,Florida,2018,C2162,"567,195"
Foreign Total,Palm Beach,Florida,2018,C2162,"1,527,539"
Exports,Palm Beach,Florida,2018,C2162,"1,143,482"
Imports,Palm Beach,Florida,2018,C2162,"384,057"
Total (tons),Palm Beach,Florida,2019,C2162,"2,177,679"
Domestic,Palm Beach,Florida,2019,C2162,"614,651"
Foreign Total,Palm Beach,Florida,2019,C2162,"1,563,028"
Exports,Palm Beach,Florida,2019,C2162,"1,180,469"
Imports,Palm Beach,Florida,2019,C2162,"382,559"
Total (tons),Palm Beach,Florida,2020,C2162,"2,188,681"
Domestic,Palm Beach,Florida,2020,C2162,"775,969"
Foreign Total,Palm Beach,Florida,2020,C2162,"1,412,712"
Exports,Palm Beach,Florida,2020,C2162,"1,059,610"
Imports,Palm Beach,Florida,2020,C2162,"353,102"
Total (tons),Palm Beach,Florida,2021,C2162,"2,956,775"
Domestic,Palm Beach,Florida,2021,C2162,"849,882"
Foreign Total,Palm Beach,Florida,2021,C2162,"2,106,893"
Exports,Palm Beach,Florida,2021,C2162,"1,645,928"
Imports,Palm Beach,Florida,2021,C2162,"460,965"
Total (tons),Panama City,Florida,2010,C2016,"2,890,880"
Domestic,Panama City,Florida,2010,C2016,"1,399,202"
Foreign Total,Panama City,Florida,2010,C2016,"1,491,678"
Exports,Panama City,Florida,2010,C2016,"967,263"
Imports,Panama City,Florida,2010,C2016,"524,415"
Total (tons),Panama City,Florida,2017,C2016,"2,021,710"
Domestic,Panama City,Florida,2017,C2016,"462,172"
Foreign Total,Panama City,Florida,2017,C2016,"1,559,538"
Exports,Panama City,Florida,2017,C2016,"1,023,035"
Imports,Panama City,Florida,2017,C2016,"536,503"
Total (tons),Panama City,Florida,2018,C2016,"2,140,388"
Domestic,Panama City,Florida,2018,C2016,"422,824"
Foreign Total,Panama City,Florida,2018,C2016,"1,717,564"
Exports,Panama City,Florida,2018,C2016,"1,061,461"
Imports,Panama City,Florida,2018,C2016,"656,103"
Total (tons),Panama City,Florida,2019,C2016,"2,258,064"
Domestic,Panama City,Florida,2019,C2016,"511,938"
Foreign Total,Panama City,Florida,2019,C2016,"1,746,126"
Exports,Panama City,Florida,2019,C2016,"1,170,783"
Imports,Panama City,Florida,2019,C2016,"575,343"
Total (tons),Panama City,Florida,2020,C2016,"2,036,804"
Domestic,Panama City,Florida,2020,C2016,"437,398"
Foreign Total,Panama City,Florida,2020,C2016,"1,599,406"
Exports,Panama City,Florida,2020,C2016,"1,098,900"
Imports,Panama City,Florida,2020,C2016,"500,506"
Total (tons),Panama City,Florida,2021,C2016,"2,430,118"
Domestic,Panama City,Florida,2021,C2016,"530,150"
Foreign Total,Panama City,Florida,2021,C2016,"1,899,968"
Exports,Panama City,Florida,2021,C2016,"1,249,957"
Imports,Panama City,Florida,2021,C2016,"650,011"
Total (tons),Panama City Port Authority,Florida,2020,C2016,"2,036,804"
Domestic,Panama City Port Authority,Florida,2020,C2016,"437,398"
Foreign Total,Panama City Port Authority,Florida,2020,C2016,"1,599,406"
Exports,Panama City Port Authority,Florida,2020,C2016,"1,098,900"
Imports,Panama City Port Authority,Florida,2020,C2016,"500,506"
Total (tons),Panama City Port Authority,Florida,2022,C2016,"2,419,413"
Domestic,Panama City Port Authority,Florida,2022,C2016,"536,680"
Foreign Total,Panama City Port Authority,Florida,2022,C2016,"1,882,733"
Exports,Panama City Port Authority,Florida,2022,C2016,"1,193,926"
Imports,Panama City Port Authority,Florida,2022,C2016,"688,807"
Total (tons),Pascagoula,Mississippi,2010,C2004,"37,275,809"
Domestic,Pascagoula,Mississippi,2010,C2004,"10,677,578"
Foreign Total,Pascagoula,Mississippi,2010,C2004,"26,598,231"
Exports,Pascagoula,Mississippi,2010,C2004,"6,572,049"
Imports,Pascagoula,Mississippi,2010,C2004,"20,026,182"
Total (tons),Pascagoula,Mississippi,2017,C2004,"25,644,568"
Domestic,Pascagoula,Mississippi,2017,C2004,"8,640,845"
Foreign Total,Pascagoula,Mississippi,2017,C2004,"17,003,723"
Exports,Pascagoula,Mississippi,2017,C2004,"7,944,705"
Imports,Pascagoula,Mississippi,2017,C2004,"9,059,018"
Total (tons),Pascagoula,Mississippi,2018,C2004,"27,358,043"
Domestic,Pascagoula,Mississippi,2018,C2004,"9,836,151"
Foreign Total,Pascagoula,Mississippi,2018,C2004,"17,521,892"
Exports,Pascagoula,Mississippi,2018,C2004,"8,688,876"
Imports,Pascagoula,Mississippi,2018,C2004,"8,833,016"
Total (tons),Pascagoula,Mississippi,2019,C2004,"25,847,060"
Domestic,Pascagoula,Mississippi,2019,C2004,"8,846,029"
Foreign Total,Pascagoula,Mississippi,2019,C2004,"17,001,031"
Exports,Pascagoula,Mississippi,2019,C2004,"8,650,136"
Imports,Pascagoula,Mississippi,2019,C2004,"8,350,895"
Total (tons),Pascagoula,Mississippi,2020,C2004,"23,096,778"
Domestic,Pascagoula,Mississippi,2020,C2004,"8,311,645"
Foreign Total,Pascagoula,Mississippi,2020,C2004,"14,785,133"
Exports,Pascagoula,Mississippi,2020,C2004,"7,334,345"
Imports,Pascagoula,Mississippi,2020,C2004,"7,450,788"
Total (tons),Pascagoula,Mississippi,2021,C2004,"23,757,927"
Domestic,Pascagoula,Mississippi,2021,C2004,"9,724,997"
Foreign Total,Pascagoula,Mississippi,2021,C2004,"14,032,930"
Exports,Pascagoula,Mississippi,2021,C2004,"6,945,133"
Imports,Pascagoula,Mississippi,2021,C2004,"7,087,797"
Total (tons),Paulsboro,New Jersey,2010,C5252,"17,499,056"
Domestic,Paulsboro,New Jersey,2010,C5252,"7,238,991"
Foreign Total,Paulsboro,New Jersey,2010,C5252,"10,260,065"
Exports,Paulsboro,New Jersey,2010,C5252,"724,140"
Imports,Paulsboro,New Jersey,2010,C5252,"9,535,925"
Total (tons),Paulsboro,New Jersey,2017,C5252,"18,362,258"
Domestic,Paulsboro,New Jersey,2017,C5252,"6,524,055"
Foreign Total,Paulsboro,New Jersey,2017,C5252,"11,838,203"
Exports,Paulsboro,New Jersey,2017,C5252,"1,307,708"
Imports,Paulsboro,New Jersey,2017,C5252,"10,530,495"
Total (tons),Paulsboro,New Jersey,2018,C5252,"16,121,201"
Domestic,Paulsboro,New Jersey,2018,C5252,"4,661,524"
Foreign Total,Paulsboro,New Jersey,2018,C5252,"11,459,677"
Exports,Paulsboro,New Jersey,2018,C5252,"421,852"
Imports,Paulsboro,New Jersey,2018,C5252,"11,037,825"
Total (tons),Paulsboro,New Jersey,2019,C5252,"18,417,301"
Domestic,Paulsboro,New Jersey,2019,C5252,"6,682,954"
Foreign Total,Paulsboro,New Jersey,2019,C5252,"11,734,347"
Exports,Paulsboro,New Jersey,2019,C5252,"471,982"
Imports,Paulsboro,New Jersey,2019,C5252,"11,262,365"
Total (tons),Paulsboro,New Jersey,2020,C5252,"20,254,325"
Domestic,Paulsboro,New Jersey,2020,C5252,"8,383,229"
Foreign Total,Paulsboro,New Jersey,2020,C5252,"11,871,096"
Exports,Paulsboro,New Jersey,2020,C5252,"599,811"
Imports,Paulsboro,New Jersey,2020,C5252,"11,271,285"
Total (tons),Pemiscot County,Missouri,2019,,"1,622,175"
Domestic,Pemiscot County,Missouri,2019,,"1,622,175"
Foreign Total,Pemiscot County,Missouri,2019,,
Exports,Pemiscot County,Missouri,2019,,
Imports,Pemiscot County,Missouri,2019,,
Total (tons),Pemiscot County,Missouri,2020,,"1,328,867"
Domestic,Pemiscot County,Missouri,2020,,"1,328,867"
Foreign Total,Pemiscot County,Missouri,2020,,
Exports,Pemiscot County,Missouri,2020,,
Imports,Pemiscot County,Missouri,2020,,
Total (tons),Pemiscot County,Missouri,2021,,"1,655,866"
Domestic,Pemiscot County,Missouri,2021,,"1,655,866"
Foreign Total,Pemiscot County,Missouri,2021,,0
Exports,Pemiscot County,Missouri,2021,,0
Imports,Pemiscot County,Missouri,2021,,0
Total (tons),Pemiscot County Port,Missouri,2020,,"1,328,867"
Domestic,Pemiscot County Port,Missouri,2020,,"1,328,867"
Foreign Total,Pemiscot County Port,Missouri,2020,,0
Exports,Pemiscot County Port,Missouri,2020,,0
Imports,Pemiscot County Port,Missouri,2020,,0
Total (tons),Pemiscot County Port,Missouri,2022,,"1,345,266"
Domestic,Pemiscot County Port,Missouri,2022,,"1,345,266"
Foreign Total,Pemiscot County Port,Missouri,2022,,0
Exports,Pemiscot County Port,Missouri,2022,,0
Imports,Pemiscot County Port,Missouri,2022,,0
Total (tons),Penn Manor,Pennsylvania,2010,C0298,"2,200,080"
Domestic,Penn Manor,Pennsylvania,2010,C0298,"79,975"
Foreign Total,Penn Manor,Pennsylvania,2010,C0298,"2,120,105"
Exports,Penn Manor,Pennsylvania,2010,C0298,"504,034"
Imports,Penn Manor,Pennsylvania,2010,C0298,"1,616,071"
Total (tons),Penn Manor,Pennsylvania,2017,C0298,"2,258,031"
Domestic,Penn Manor,Pennsylvania,2017,C0298,"86,245"
Foreign Total,Penn Manor,Pennsylvania,2017,C0298,"2,171,786"
Exports,Penn Manor,Pennsylvania,2017,C0298,"392,244"
Imports,Penn Manor,Pennsylvania,2017,C0298,"1,779,542"
Total (tons),Penn Manor,Pennsylvania,2018,C0298,"2,829,337"
Domestic,Penn Manor,Pennsylvania,2018,C0298,"65,975"
Foreign Total,Penn Manor,Pennsylvania,2018,C0298,"2,763,362"
Exports,Penn Manor,Pennsylvania,2018,C0298,"517,530"
Imports,Penn Manor,Pennsylvania,2018,C0298,"2,245,832"
Total (tons),Penn Manor,Pennsylvania,2019,C0298,"2,330,736"
Domestic,Penn Manor,Pennsylvania,2019,C0298,"101,516"
Foreign Total,Penn Manor,Pennsylvania,2019,C0298,"2,229,220"
Exports,Penn Manor,Pennsylvania,2019,C0298,"363,762"
Imports,Penn Manor,Pennsylvania,2019,C0298,"1,865,458"
Total (tons),Pensacola,Florida,2010,C2007,"848,152"
Domestic,Pensacola,Florida,2010,C2007,"669,904"
Foreign Total,Pensacola,Florida,2010,C2007,"178,248"
Exports,Pensacola,Florida,2010,C2007,"63,421"
Imports,Pensacola,Florida,2010,C2007,"114,827"
Total (tons),Pensacola,Florida,2017,C2007,"765,483"
Domestic,Pensacola,Florida,2017,C2007,"639,734"
Foreign Total,Pensacola,Florida,2017,C2007,"125,749"
Exports,Pensacola,Florida,2017,C2007,"14,498"
Imports,Pensacola,Florida,2017,C2007,"111,251"
Total (tons),Philadelphia,Pennsylvania,2010,C0552,"34,036,094"
Domestic,Philadelphia,Pennsylvania,2010,C0552,"12,565,092"
Foreign Total,Philadelphia,Pennsylvania,2010,C0552,"21,471,002"
Exports,Philadelphia,Pennsylvania,2010,C0552,"484,432"
Imports,Philadelphia,Pennsylvania,2010,C0552,"20,986,570"
Total (tons),Philadelphia,Pennsylvania,2017,C0552,"28,523,744"
Domestic,Philadelphia,Pennsylvania,2017,C0552,"12,231,790"
Foreign Total,Philadelphia,Pennsylvania,2017,C0552,"16,291,954"
Exports,Philadelphia,Pennsylvania,2017,C0552,"1,451,573"
Imports,Philadelphia,Pennsylvania,2017,C0552,"14,840,381"
Total (tons),Philadelphia,Pennsylvania,2018,C0552,"26,656,373"
Domestic,Philadelphia,Pennsylvania,2018,C0552,"10,468,023"
Foreign Total,Philadelphia,Pennsylvania,2018,C0552,"16,188,350"
Exports,Philadelphia,Pennsylvania,2018,C0552,"1,051,546"
Imports,Philadelphia,Pennsylvania,2018,C0552,"15,136,804"
Total (tons),Philadelphia,Pennsylvania,2019,C0552,"16,313,721"
Domestic,Philadelphia,Pennsylvania,2019,C0552,"7,065,544"
Foreign Total,Philadelphia,Pennsylvania,2019,C0552,"9,248,177"
Exports,Philadelphia,Pennsylvania,2019,C0552,"887,744"
Imports,Philadelphia,Pennsylvania,2019,C0552,"8,360,433"
Total (tons),Philadelphia,Pennsylvania,2020,C0552,"28,517,760"
Domestic,Philadelphia,Pennsylvania,2020,C0552,"11,589,634"
Foreign Total,Philadelphia,Pennsylvania,2020,C0552,"16,928,126"
Exports,Philadelphia,Pennsylvania,2020,C0552,"7,094,446"
Imports,Philadelphia,Pennsylvania,2020,C0552,"9,833,680"
