Measure Names,Port Name,State,Year,Port Code,Measure Values
Imports,Alpena,Michigan,2022,L3617,"18,739"
Total (tons),America's Central Port,Illinois,2021,,"8,409,663"
Domestic,America's Central Port,Illinois,2021,,"8,409,663"
Foreign Total,America's Central Port,Illinois,2021,,0
Exports,America's Central Port,Illinois,2021,,0
Imports,America's Central Port,Illinois,2021,,0
Total (tons),America's Central Port,Illinois,2022,,"5,528,169"
Domestic,America's Central Port,Illinois,2022,,"5,528,169"
Foreign Total,America's Central Port,Illinois,2022,,0
Exports,America's Central Port,Illinois,2022,,0
Imports,America's Central Port,Illinois,2022,,0
Total (tons),Anacortes,Washington,2010,C4730,"8,455,447"
Domestic,Anacortes,Washington,2010,C4730,"6,668,158"
Foreign Total,Anacortes,Washington,2010,C4730,"1,787,289"
Exports,Anacortes,Washington,2010,C4730,"1,350,755"
Imports,Anacortes,Washington,2010,C4730,"436,534"
Total (tons),Anacortes,Washington,2017,C4730,"9,212,192"
Domestic,Anacortes,Washington,2017,C4730,"6,984,739"
Foreign Total,Anacortes,Washington,2017,C4730,"2,227,453"
Exports,Anacortes,Washington,2017,C4730,"1,391,522"
Imports,Anacortes,Washington,2017,C4730,"835,931"
Total (tons),Anacortes,Washington,2018,C4730,"11,038,886"
Domestic,Anacortes,Washington,2018,C4730,"7,923,506"
Foreign Total,Anacortes,Washington,2018,C4730,"3,115,380"
Exports,Anacortes,Washington,2018,C4730,"1,930,847"
Imports,Anacortes,Washington,2018,C4730,"1,184,533"
Total (tons),Anacortes,Washington,2019,C4730,"8,532,308"
Domestic,Anacortes,Washington,2019,C4730,"6,656,441"
Foreign Total,Anacortes,Washington,2019,C4730,"1,875,867"
Exports,Anacortes,Washington,2019,C4730,"1,441,008"
Imports,Anacortes,Washington,2019,C4730,"434,859"
Total (tons),Anacortes,Washington,2020,C4730,"13,976,580"
Domestic,Anacortes,Washington,2020,C4730,"11,402,402"
Foreign Total,Anacortes,Washington,2020,C4730,"2,574,178"
Exports,Anacortes,Washington,2020,C4730,"2,063,338"
Imports,Anacortes,Washington,2020,C4730,"510,840"
Total (tons),Anacortes,Washington,2021,C4730,"9,612,351"
Domestic,Anacortes,Washington,2021,C4730,"7,064,800"
Foreign Total,Anacortes,Washington,2021,C4730,"2,547,551"
Exports,Anacortes,Washington,2021,C4730,"788,322"
Imports,Anacortes,Washington,2021,C4730,"1,759,229"
Total (tons),Anacortes,Washington,2022,C4730,"12,181,632"
Domestic,Anacortes,Washington,2022,C4730,"8,233,067"
Foreign Total,Anacortes,Washington,2022,C4730,"3,948,565"
Exports,Anacortes,Washington,2022,C4730,"1,456,733"
Imports,Anacortes,Washington,2022,C4730,"2,491,832"
Total (tons),Anchorage,Alaska,2010,C4820,"2,770,300"
Domestic,Anchorage,Alaska,2010,C4820,"2,212,429"
Foreign Total,Anchorage,Alaska,2010,C4820,"557,871"
Exports,Anchorage,Alaska,2010,C4820,"31,645"
Imports,Anchorage,Alaska,2010,C4820,"526,226"
Total (tons),Anchorage,Alaska,2017,C4820,"3,297,827"
Domestic,Anchorage,Alaska,2017,C4820,"2,354,556"
Foreign Total,Anchorage,Alaska,2017,C4820,"943,271"
Exports,Anchorage,Alaska,2017,C4820,"3,260"
Imports,Anchorage,Alaska,2017,C4820,"940,011"
Total (tons),Anchorage,Alaska,2018,C4820,"3,252,349"
Domestic,Anchorage,Alaska,2018,C4820,"2,109,965"
Foreign Total,Anchorage,Alaska,2018,C4820,"1,142,384"
Exports,Anchorage,Alaska,2018,C4820,"71,913"
Imports,Anchorage,Alaska,2018,C4820,"1,070,471"
Total (tons),Anchorage,Alaska,2019,C4820,"2,828,417"
Domestic,Anchorage,Alaska,2019,C4820,"1,707,511"
Foreign Total,Anchorage,Alaska,2019,C4820,"1,120,906"
Exports,Anchorage,Alaska,2019,C4820,"15,909"
Imports,Anchorage,Alaska,2019,C4820,"1,104,997"
Total (tons),Anchorage,Alaska,2020,C4820,"3,042,611"
Domestic,Anchorage,Alaska,2020,C4820,"1,701,901"
Foreign Total,Anchorage,Alaska,2020,C4820,"1,340,710"
Exports,Anchorage,Alaska,2020,C4820,
Imports,Anchorage,Alaska,2020,C4820,"1,340,710"
Total (tons),Anchorage,Alaska,2021,,"3,318,978"
Domestic,Anchorage,Alaska,2021,,"1,787,281"
Foreign Total,Anchorage,Alaska,2021,,"1,531,697"
Exports,Anchorage,Alaska,2021,,"14,611"
Imports,Anchorage,Alaska,2021,,"1,517,086"
Total (tons),Ashtabula,Ohio,2010,L3219,"6,346,279"
Domestic,Ashtabula,Ohio,2010,L3219,"3,811,252"
Foreign Total,Ashtabula,Ohio,2010,L3219,"2,535,027"
Exports,Ashtabula,Ohio,2010,L3219,"1,221,939"
