Measures,State,Year of Year,Values
Highway vehicle-miles traveled (millions),Florida,2021,"217,566.3769"
Highway vehicle-miles traveled (millions),Florida,2017,"218,825.8034"
Highway vehicle-miles traveled (millions),Florida,2018,"221,815.7407"
Highway vehicle-miles traveled (millions),Florida,2019,"226,514.4161"
Highway vehicle-miles traveled (millions),Florida,2022,"227,757.1374"
Highway vehicle-miles traveled (millions),Florida,2023,"239,188.1902"
Highway vehicle-miles traveled (millions),Florida,2024,"249,474.0502"
Highway vehicle-miles traveled (millions),Georgia,2010,"111,722.467"
Highway vehicle-miles traveled (millions),Georgia,2020,"115,966.8266"
Highway vehicle-miles traveled (millions),Georgia,2015,"118,106.5611"
Highway vehicle-miles traveled (millions),Georgia,2021,"120,685.2241"
Highway vehicle-miles traveled (millions),Georgia,2024,"122,215.6572"
Highway vehicle-miles traveled (millions),Georgia,2016,"122,802"
Highway vehicle-miles traveled (millions),Georgia,2017,"124,733.3944"
Highway vehicle-miles traveled (millions),Georgia,2023,"126,339.0799"
Highway vehicle-miles traveled (millions),Georgia,2022,"128,871.0557"
Highway vehicle-miles traveled (millions),Georgia,2018,"131,455.5328"
Highway vehicle-miles traveled (millions),Georgia,2019,"133,127.6582"
Highway vehicle-miles traveled (millions),Hawaii,2020,"8,785.36654"
Highway vehicle-miles traveled (millions),Hawaii,2021,"9,971.96374"
Highway vehicle-miles traveled (millions),Hawaii,2010,"9,994.649305"
Highway vehicle-miles traveled (millions),Hawaii,2022,"10,289.07568"
Highway vehicle-miles traveled (millions),Hawaii,2015,"10,300.52988"
Highway vehicle-miles traveled (millions),Hawaii,2023,"10,435.35666"
Highway vehicle-miles traveled (millions),Hawaii,2016,"10,635"
Highway vehicle-miles traveled (millions),Hawaii,2024,"10,647.27577"
Highway vehicle-miles traveled (millions),Hawaii,2017,"10,748.61947"
Highway vehicle-miles traveled (millions),Hawaii,2018,"10,886.76775"
Highway vehicle-miles traveled (millions),Hawaii,2019,"11,024.0049"
Highway vehicle-miles traveled (millions),Idaho,2010,"15,801.20628"
Highway vehicle-miles traveled (millions),Idaho,2015,"16,661.94971"
Highway vehicle-miles traveled (millions),Idaho,2016,"17,199"
Highway vehicle-miles traveled (millions),Idaho,2017,"17,300.37194"
Highway vehicle-miles traveled (millions),Idaho,2020,"17,406.41762"
Highway vehicle-miles traveled (millions),Idaho,2018,"17,709.14577"
Highway vehicle-miles traveled (millions),Idaho,2019,"18,057.66158"
Highway vehicle-miles traveled (millions),Idaho,2022,"19,157.40384"
Highway vehicle-miles traveled (millions),Idaho,2021,"19,308.17008"
Highway vehicle-miles traveled (millions),Idaho,2023,"19,718.29206"
Highway vehicle-miles traveled (millions),Idaho,2024,"20,046.41292"
Highway vehicle-miles traveled (millions),Illinois,2020,"94,120.59736"
Highway vehicle-miles traveled (millions),Illinois,2021,"97,529.583"
Highway vehicle-miles traveled (millions),Illinois,2023,"102,870.7852"
Highway vehicle-miles traveled (millions),Illinois,2022,"103,752.1869"
Highway vehicle-miles traveled (millions),Illinois,2024,"104,290.171"
Highway vehicle-miles traveled (millions),Illinois,2015,"105,223.406"
Highway vehicle-miles traveled (millions),Illinois,2010,"105,787.8524"
Highway vehicle-miles traveled (millions),Illinois,2016,"107,314"
Highway vehicle-miles traveled (millions),Illinois,2019,"107,524.6445"
Highway vehicle-miles traveled (millions),Illinois,2018,"107,954.2539"
Highway vehicle-miles traveled (millions),Illinois,2017,"108,011.2553"
Highway vehicle-miles traveled (millions),Indiana,2010,"75,760.50984"
Highway vehicle-miles traveled (millions),Indiana,2020,"76,607.74049"
Highway vehicle-miles traveled (millions),Indiana,2021,"78,640.39604"
Highway vehicle-miles traveled (millions),Indiana,2015,"78,818.67261"
Highway vehicle-miles traveled (millions),Indiana,2018,"81,528.8118"
Highway vehicle-miles traveled (millions),Indiana,2017,"81,751.85677"
Highway vehicle-miles traveled (millions),Indiana,2019,"82,719.12299"
Highway vehicle-miles traveled (millions),Indiana,2016,"83,183"
Highway vehicle-miles traveled (millions),Indiana,2023,"85,209.18055"
Highway vehicle-miles traveled (millions),Indiana,2024,"88,230.75825"
Highway vehicle-miles traveled (millions),Indiana,2022,"95,684.40578"
Highway vehicle-miles traveled (millions),Iowa,2020,"29,751.49674"
Highway vehicle-miles traveled (millions),Iowa,2010,"31,388.61561"
Highway vehicle-miles traveled (millions),Iowa,2022,"32,712.07528"
Highway vehicle-miles traveled (millions),Iowa,2021,"33,039.27764"
Highway vehicle-miles traveled (millions),Iowa,2015,"33,160.97573"
Highway vehicle-miles traveled (millions),Iowa,2023,"33,254.01868"
Highway vehicle-miles traveled (millions),Iowa,2018,"33,282.40004"
Highway vehicle-miles traveled (millions),Iowa,2016,"33,337"
Highway vehicle-miles traveled (millions),Iowa,2017,"33,482.08769"
Highway vehicle-miles traveled (millions),Iowa,2019,"33,537.01904"
Highway vehicle-miles traveled (millions),Iowa,2024,"33,816.66799"
Highway vehicle-miles traveled (millions),Kansas,2020,"27,853.80189"
Highway vehicle-miles traveled (millions),Kansas,2010,"29,899.65838"
Highway vehicle-miles traveled (millions),Kansas,2022,"31,333.6436"
Highway vehicle-miles traveled (millions),Kansas,2015,"31,379.12459"
Highway vehicle-miles traveled (millions),Kansas,2024,"31,669.87323"
Highway vehicle-miles traveled (millions),Kansas,2021,"31,692.83414"
Highway vehicle-miles traveled (millions),Kansas,2023,"31,827.54826"
Highway vehicle-miles traveled (millions),Kansas,2019,"31,842.51993"
Highway vehicle-miles traveled (millions),Kansas,2016,"32,103"
Highway vehicle-miles traveled (millions),Kansas,2018,"32,190.41298"
Highway vehicle-miles traveled (millions),Kansas,2017,"32,258.18896"
Highway vehicle-miles traveled (millions),Kentucky,2020,"46,535.80644"
Highway vehicle-miles traveled (millions),Kentucky,2010,"48,006.7429"
Highway vehicle-miles traveled (millions),Kentucky,2022,"48,047.12396"
Highway vehicle-miles traveled (millions),Kentucky,2021,"48,111.36861"
Highway vehicle-miles traveled (millions),Kentucky,2015,"48,674.69601"
Highway vehicle-miles traveled (millions),Kentucky,2023,"48,993.34831"
Highway vehicle-miles traveled (millions),Kentucky,2024,"49,168.44334"
Highway vehicle-miles traveled (millions),Kentucky,2017,"49,239.3341"
Highway vehicle-miles traveled (millions),Kentucky,2016,"49,313"
Highway vehicle-miles traveled (millions),Kentucky,2019,"49,410.33181"
Highway vehicle-miles traveled (millions),Kentucky,2018,"49,543.60624"
Highway vehicle-miles traveled (millions),Louisiana,2010,"45,438.69082"
Highway vehicle-miles traveled (millions),Louisiana,2015,"48,180.25257"
Highway vehicle-miles traveled (millions),Louisiana,2020,"48,374.10643"
Highway vehicle-miles traveled (millions),Louisiana,2016,"49,156"
Highway vehicle-miles traveled (millions),Louisiana,2017,"49,220.89766"
Highway vehicle-miles traveled (millions),Louisiana,2018,"50,045.42745"
Highway vehicle-miles traveled (millions),Louisiana,2019,"51,360.30324"
Highway vehicle-miles traveled (millions),Louisiana,2021,"54,727.65668"
Highway vehicle-miles traveled (millions),Louisiana,2024,"55,109.10243"
Highway vehicle-miles traveled (millions),Louisiana,2023,"55,560.40195"
Highway vehicle-miles traveled (millions),Louisiana,2022,"56,514.03597"
Highway vehicle-miles traveled (millions),Maine,2020,"13,086.41725"
Highway vehicle-miles traveled (millions),Maine,2010,"14,549.3831"
Highway vehicle-miles traveled (millions),Maine,2021,"14,559.825"
Highway vehicle-miles traveled (millions),Maine,2015,"14,629.43917"
Highway vehicle-miles traveled (millions),Maine,2022,"14,651.08971"
Highway vehicle-miles traveled (millions),Maine,2017,"14,738.11789"
Highway vehicle-miles traveled (millions),Maine,2018,"14,783.55489"
Highway vehicle-miles traveled (millions),Maine,2016,"14,838"
Highway vehicle-miles traveled (millions),Maine,2019,"14,871.46816"
Highway vehicle-miles traveled (millions),Maine,2023,"14,888.1624"
Highway vehicle-miles traveled (millions),Maine,2024,"15,160.93833"
Highway vehicle-miles traveled (millions),Maryland,2020,"50,885.12383"
Highway vehicle-miles traveled (millions),Maryland,2010,"56,125.52196"
Highway vehicle-miles traveled (millions),Maryland,2021,"56,601.20181"
Highway vehicle-miles traveled (millions),Maryland,2022,"56,745.83"
Highway vehicle-miles traveled (millions),Maryland,2024,"57,049.37241"
Highway vehicle-miles traveled (millions),Maryland,2023,"57,355.6247"
Highway vehicle-miles traveled (millions),Maryland,2015,"57,515.82372"
Highway vehicle-miles traveled (millions),Maryland,2016,"59,137"
Highway vehicle-miles traveled (millions),Maryland,2018,"59,775.43547"
Highway vehicle-miles traveled (millions),Maryland,2017,"60,044.56432"
Highway vehicle-miles traveled (millions),Maryland,2019,"60,215.89374"
Highway vehicle-miles traveled (millions),Massachusetts,2020,"54,126.82558"
Highway vehicle-miles traveled (millions),Massachusetts,2010,"54,361.98633"
Highway vehicle-miles traveled (millions),Massachusetts,2022,"56,948.96409"
Highway vehicle-miles traveled (millions),Massachusetts,2021,"59,114.98426"
Highway vehicle-miles traveled (millions),Massachusetts,2015,"59,257.48057"
Highway vehicle-miles traveled (millions),Massachusetts,2023,"60,747.89466"
Highway vehicle-miles traveled (millions),Massachusetts,2016,"61,825"
Highway vehicle-miles traveled (millions),Massachusetts,2024,"62,013.31618"
Highway vehicle-miles traveled (millions),Massachusetts,2017,"62,660.41137"
Highway vehicle-miles traveled (millions),Massachusetts,2019,"64,889.78224"
Highway vehicle-miles traveled (millions),Massachusetts,2018,"66,771.98073"
Highway vehicle-miles traveled (millions),Michigan,2020,"86,546.99493"
Highway vehicle-miles traveled (millions),Michigan,2022,"95,900.79387"
Highway vehicle-miles traveled (millions),Michigan,2021,"96,744.48614"
Highway vehicle-miles traveled (millions),Michigan,2010,"97,567.36027"
Highway vehicle-miles traveled (millions),Michigan,2015,"97,843.1965"
Highway vehicle-miles traveled (millions),Michigan,2023,"98,288.77886"
Highway vehicle-miles traveled (millions),Michigan,2016,"99,433"
Highway vehicle-miles traveled (millions),Michigan,2024,"99,661.426"
Highway vehicle-miles traveled (millions),Michigan,2017,"101,757.1987"
Highway vehicle-miles traveled (millions),Michigan,2019,"102,173.7175"
Highway vehicle-miles traveled (millions),Michigan,2018,"102,397.5575"
Highway vehicle-miles traveled (millions),Minnesota,2020,"51,619.44114"
Highway vehicle-miles traveled (millions),Minnesota,2010,"56,631.67446"
Highway vehicle-miles traveled (millions),Minnesota,2021,"57,171.10937"
Highway vehicle-miles traveled (millions),Minnesota,2015,"57,394.87167"
Highway vehicle-miles traveled (millions),Minnesota,2022,"57,470.62375"
Highway vehicle-miles traveled (millions),Minnesota,2023,"58,046.12134"
Highway vehicle-miles traveled (millions),Minnesota,2016,"59,029"
Highway vehicle-miles traveled (millions),Minnesota,2024,"59,181.37286"
Highway vehicle-miles traveled (millions),Minnesota,2017,"59,970.85392"
Highway vehicle-miles traveled (millions),Minnesota,2018,"60,438.31409"
Highway vehicle-miles traveled (millions),Minnesota,2019,"60,730.9811"
Highway vehicle-miles traveled (millions),Mississippi,2020,"39,665.08749"
Highway vehicle-miles traveled (millions),Mississippi,2010,"39,841.02978"
Highway vehicle-miles traveled (millions),Mississippi,2015,"39,890.36248"
Highway vehicle-miles traveled (millions),Mississippi,2022,"39,951.71948"
Highway vehicle-miles traveled (millions),Mississippi,2018,"40,730.43949"
Highway vehicle-miles traveled (millions),Mississippi,2016,"40,755"
Highway vehicle-miles traveled (millions),Mississippi,2021,"40,852.82524"
Highway vehicle-miles traveled (millions),Mississippi,2017,"40,877.09802"
Highway vehicle-miles traveled (millions),Mississippi,2023,"40,944.35392"
Highway vehicle-miles traveled (millions),Mississippi,2019,"41,090.91055"
Highway vehicle-miles traveled (millions),Mississippi,2024,"41,554.19446"
Highway vehicle-miles traveled (millions),Missouri,2010,"70,863.99668"
Highway vehicle-miles traveled (millions),Missouri,2015,"71,917.51859"
Highway vehicle-miles traveled (millions),Missouri,2020,"72,797.03699"
Highway vehicle-miles traveled (millions),Missouri,2016,"74,019"
Highway vehicle-miles traveled (millions),Missouri,2017,"75,911.31624"
Highway vehicle-miles traveled (millions),Missouri,2018,"76,594.99928"
Highway vehicle-miles traveled (millions),Missouri,2019,"79,168.24988"
Highway vehicle-miles traveled (millions),Missouri,2022,"79,430.84512"
Highway vehicle-miles traveled (millions),Missouri,2021,"79,790.92724"
Highway vehicle-miles traveled (millions),Missouri,2023,"80,825.35068"
Highway vehicle-miles traveled (millions),Missouri,2024,"81,806.50503"
Highway vehicle-miles traveled (millions),Montana,2010,"11,189.80595"
Highway vehicle-miles traveled (millions),Montana,2020,"12,104.09134"
Highway vehicle-miles traveled (millions),Montana,2015,"12,345.07126"
Highway vehicle-miles traveled (millions),Montana,2016,"12,599"
Highway vehicle-miles traveled (millions),Montana,2017,"12,644.67236"
Highway vehicle-miles traveled (millions),Montana,2018,"12,699.63599"
Highway vehicle-miles traveled (millions),Montana,2019,"12,891.94753"
Highway vehicle-miles traveled (millions),Montana,2021,"13,481.66866"
Highway vehicle-miles traveled (millions),Montana,2022,"13,513.7801"
Highway vehicle-miles traveled (millions),Montana,2023,"13,699.86115"
Highway vehicle-miles traveled (millions),Montana,2024,"13,864.97778"
Highway vehicle-miles traveled (millions),Nebraska,2020,"19,431.86472"
Highway vehicle-miles traveled (millions),Nebraska,2010,"19,437.95166"
Highway vehicle-miles traveled (millions),Nebraska,2015,"20,100.95861"
Highway vehicle-miles traveled (millions),Nebraska,2016,"20,700"
Highway vehicle-miles traveled (millions),Nebraska,2018,"20,974.73509"
Highway vehicle-miles traveled (millions),Nebraska,2017,"21,002.01479"
Highway vehicle-miles traveled (millions),Nebraska,2021,"21,209.66629"
Highway vehicle-miles traveled (millions),Nebraska,2019,"21,241.79216"
Highway vehicle-miles traveled (millions),Nebraska,2022,"21,270.32889"
Highway vehicle-miles traveled (millions),Nebraska,2023,"21,274.56741"
Highway vehicle-miles traveled (millions),Nebraska,2024,"21,899.73455"
Highway vehicle-miles traveled (millions),Nevada,2010,"22,201.41949"
Highway vehicle-miles traveled (millions),Nevada,2020,"25,231.34636"
Highway vehicle-miles traveled (millions),Nevada,2015,"25,925.4421"
Highway vehicle-miles traveled (millions),Nevada,2016,"26,788"
Highway vehicle-miles traveled (millions),Nevada,2021,"27,076.608"
Highway vehicle-miles traveled (millions),Nevada,2017,"27,587.00971"
Highway vehicle-miles traveled (millions),Nevada,2022,"27,647.35686"
Highway vehicle-miles traveled (millions),Nevada,2023,"27,776.69307"
Highway vehicle-miles traveled (millions),Nevada,2018,"28,319.01217"
Highway vehicle-miles traveled (millions),Nevada,2024,"28,433.02383"
Highway vehicle-miles traveled (millions),Nevada,2019,"28,793.73743"
Highway vehicle-miles traveled (millions),New Hampshire,2020,"11,956.25576"
Highway vehicle-miles traveled (millions),New Hampshire,2010,"13,065.22025"
Highway vehicle-miles traveled (millions),New Hampshire,2015,"13,093.74176"
Highway vehicle-miles traveled (millions),New Hampshire,2021,"13,129.80771"
Highway vehicle-miles traveled (millions),New Hampshire,2022,"13,280.56343"
Highway vehicle-miles traveled (millions),New Hampshire,2016,"13,513"
Highway vehicle-miles traveled (millions),New Hampshire,2023,"13,514.73049"
Highway vehicle-miles traveled (millions),New Hampshire,2017,"13,681.37663"
Highway vehicle-miles traveled (millions),New Hampshire,2018,"13,776.47306"
Highway vehicle-miles traveled (millions),New Hampshire,2019,"13,828.12148"
Highway vehicle-miles traveled (millions),New Hampshire,2024,"13,853.63234"
Highway vehicle-miles traveled (millions),New Jersey,2020,"66,341.14996"
Highway vehicle-miles traveled (millions),New Jersey,2010,"73,027.65919"
Highway vehicle-miles traveled (millions),New Jersey,2021,"73,672.75741"
Highway vehicle-miles traveled (millions),New Jersey,2022,"75,287.57049"
Highway vehicle-miles traveled (millions),New Jersey,2015,"75,393.41931"
Highway vehicle-miles traveled (millions),New Jersey,2016,"77,093"
Highway vehicle-miles traveled (millions),New Jersey,2017,"77,508.60231"
Highway vehicle-miles traveled (millions),New Jersey,2018,"77,538.91117"
Highway vehicle-miles traveled (millions),New Jersey,2023,"78,006.65592"
Highway vehicle-miles traveled (millions),New Jersey,2019,"78,205.2972"
Highway vehicle-miles traveled (millions),New Jersey,2024,"79,459.78693"
Highway vehicle-miles traveled (millions),New Mexico,2020,"23,756.4356"
Highway vehicle-miles traveled (millions),New Mexico,2010,"25,273.67897"
Highway vehicle-miles traveled (millions),New Mexico,2021,"26,823.40324"
Highway vehicle-miles traveled (millions),New Mexico,2022,"26,831.44829"
Highway vehicle-miles traveled (millions),New Mexico,2018,"27,288.30697"
Highway vehicle-miles traveled (millions),New Mexico,2015,"27,435.41838"
Highway vehicle-miles traveled (millions),New Mexico,2019,"27,772.07505"
Highway vehicle-miles traveled (millions),New Mexico,2016,"27,886"
Highway vehicle-miles traveled (millions),New Mexico,2023,"28,168.69356"
Highway vehicle-miles traveled (millions),New Mexico,2024,"28,644.56402"
Highway vehicle-miles traveled (millions),New Mexico,2017,"29,680.1674"
Highway vehicle-miles traveled (millions),New York,2020,"102,476.8745"
Highway vehicle-miles traveled (millions),New York,2021,"106,869.759"
Highway vehicle-miles traveled (millions),New York,2022,"115,382.3147"
Highway vehicle-miles traveled (millions),New York,2023,"120,067.3195"
Highway vehicle-miles traveled (millions),New York,2024,"120,869.2219"
Highway vehicle-miles traveled (millions),New York,2016,"122,930"
Highway vehicle-miles traveled (millions),New York,2018,"123,510.3986"
Highway vehicle-miles traveled (millions),New York,2017,"123,731.84"
Highway vehicle-miles traveled (millions),New York,2019,"123,986.1543"
Highway vehicle-miles traveled (millions),New York,2015,"127,230.2144"
Highway vehicle-miles traveled (millions),New York,2010,"131,252.0615"
Highway vehicle-miles traveled (millions),North Carolina,2010,"102,384.9676"
Highway vehicle-miles traveled (millions),North Carolina,2020,"106,342.3654"
Highway vehicle-miles traveled (millions),North Carolina,2015,"111,878.5688"
Highway vehicle-miles traveled (millions),North Carolina,2016,"116,749"
Highway vehicle-miles traveled (millions),North Carolina,2021,"117,734.4339"
Highway vehicle-miles traveled (millions),North Carolina,2017,"119,176.3686"
Highway vehicle-miles traveled (millions),North Carolina,2022,"119,381.0382"
Highway vehicle-miles traveled (millions),North Carolina,2018,"121,127.2486"
Highway vehicle-miles traveled (millions),North Carolina,2023,"122,257.585"
Highway vehicle-miles traveled (millions),North Carolina,2019,"122,474.654"
Highway vehicle-miles traveled (millions),North Carolina,2024,"131,008.3588"
Highway vehicle-miles traveled (millions),North Dakota,2010,"8,262.258786"
Highway vehicle-miles traveled (millions),North Dakota,2020,"8,767.60078"
Highway vehicle-miles traveled (millions),North Dakota,2022,"9,179.77305"
Highway vehicle-miles traveled (millions),North Dakota,2021,"9,255.66642"
Highway vehicle-miles traveled (millions),North Dakota,2017,"9,716.836374"
Highway vehicle-miles traveled (millions),North Dakota,2016,"9,739"
Highway vehicle-miles traveled (millions),North Dakota,2019,"9,826.068271"
Highway vehicle-miles traveled (millions),North Dakota,2018,"9,855.663669"
Highway vehicle-miles traveled (millions),North Dakota,2023,"9,896.02107"
Highway vehicle-miles traveled (millions),North Dakota,2024,"10,029.74675"
Highway vehicle-miles traveled (millions),North Dakota,2015,"10,036.21684"
Highway vehicle-miles traveled (millions),Ohio,2020,"103,114.9361"
Highway vehicle-miles traveled (millions),Ohio,2022,"110,577.5103"
Highway vehicle-miles traveled (millions),Ohio,2010,"111,835.7316"
Highway vehicle-miles traveled (millions),Ohio,2021,"112,923.0161"
Highway vehicle-miles traveled (millions),Ohio,2023,"113,223.7248"
Highway vehicle-miles traveled (millions),Ohio,2015,"113,672.5052"
Highway vehicle-miles traveled (millions),Ohio,2018,"114,474.4406"
Highway vehicle-miles traveled (millions),Ohio,2019,"114,693.5886"
Highway vehicle-miles traveled (millions),Ohio,2024,"116,036.2929"
Highway vehicle-miles traveled (millions),Ohio,2016,"118,608"
Highway vehicle-miles traveled (millions),Ohio,2017,"119,597.9667"
Highway vehicle-miles traveled (millions),Oklahoma,2020,"42,000.17854"
Highway vehicle-miles traveled (millions),Oklahoma,2022,"44,565.77349"
Highway vehicle-miles traveled (millions),Oklahoma,2019,"44,648.23661"
Highway vehicle-miles traveled (millions),Oklahoma,2021,"44,759.7607"
Highway vehicle-miles traveled (millions),Oklahoma,2018,"45,433.01282"
Highway vehicle-miles traveled (millions),Oklahoma,2023,"45,759.64193"
Highway vehicle-miles traveled (millions),Oklahoma,2024,"46,456.2454"
Highway vehicle-miles traveled (millions),Oklahoma,2015,"47,713.00021"
Highway vehicle-miles traveled (millions),Oklahoma,2010,"47,745.91733"
Highway vehicle-miles traveled (millions),Oklahoma,2016,"49,013"
Highway vehicle-miles traveled (millions),Oklahoma,2017,"49,402.2604"
Highway vehicle-miles traveled (millions),Oregon,2020,"32,297.97845"
Highway vehicle-miles traveled (millions),Oregon,2010,"33,774.10556"
Highway vehicle-miles traveled (millions),Oregon,2019,"35,808.46532"
Highway vehicle-miles traveled (millions),Oregon,2015,"35,998.50454"
Highway vehicle-miles traveled (millions),Oregon,2022,"36,576.15997"
Highway vehicle-miles traveled (millions),Oregon,2016,"36,719"
Highway vehicle-miles traveled (millions),Oregon,2017,"36,752.88329"
Highway vehicle-miles traveled (millions),Oregon,2023,"36,815.89335"
Highway vehicle-miles traveled (millions),Oregon,2021,"36,841.97559"
Highway vehicle-miles traveled (millions),Oregon,2018,"36,848.41693"
Highway vehicle-miles traveled (millions),Oregon,2024,"37,398.88926"
Highway vehicle-miles traveled (millions),Pennsylvania,2020,"87,982.49094"
Highway vehicle-miles traveled (millions),Pennsylvania,2024,"95,194.02275"
Highway vehicle-miles traveled (millions),Pennsylvania,2022,"99,912.31056"
Highway vehicle-miles traveled (millions),Pennsylvania,2023,"100,125.5985"
Highway vehicle-miles traveled (millions),Pennsylvania,2010,"100,328.7123"
Highway vehicle-miles traveled (millions),Pennsylvania,2015,"100,945.0602"
Highway vehicle-miles traveled (millions),Pennsylvania,2016,"101,362"
Highway vehicle-miles traveled (millions),Pennsylvania,2017,"101,614.0539"
Highway vehicle-miles traveled (millions),Pennsylvania,2018,"102,109.4468"
Highway vehicle-miles traveled (millions),Pennsylvania,2021,"102,686.0406"
Highway vehicle-miles traveled (millions),Pennsylvania,2019,"102,863.5098"
Highway vehicle-miles traveled (millions),Puerto Rico,2020,"13,761.61111"
Highway vehicle-miles traveled (millions),Puerto Rico,2021,"13,869.22283"
Highway vehicle-miles traveled (millions),Puerto Rico,2016,"14,564"
Highway vehicle-miles traveled (millions),Puerto Rico,2015,"14,564.42564"
Highway vehicle-miles traveled (millions),Puerto Rico,2019,"14,710.02161"
Highway vehicle-miles traveled (millions),Puerto Rico,2022,"14,928.55127"
Highway vehicle-miles traveled (millions),Puerto Rico,2023,"14,982.858"
Highway vehicle-miles traveled (millions),Puerto Rico,2017,"15,010.47781"
Highway vehicle-miles traveled (millions),Puerto Rico,2018,"15,020.11585"
Highway vehicle-miles traveled (millions),Puerto Rico,2024,"15,449.38087"
Highway vehicle-miles traveled (millions),Puerto Rico,2010,"18,588.355"
Highway vehicle-miles traveled (millions),Rhode Island,2020,"6,864.09328"
Highway vehicle-miles traveled (millions),Rhode Island,2021,"7,526.31208"
Highway vehicle-miles traveled (millions),Rhode Island,2022,"7,530.61975"
Highway vehicle-miles traveled (millions),Rhode Island,2023,"7,563.92891"
Highway vehicle-miles traveled (millions),Rhode Island,2019,"7,580.832258"
Highway vehicle-miles traveled (millions),Rhode Island,2024,"7,655.86596"
Highway vehicle-miles traveled (millions),Rhode Island,2015,"7,832.561416"
Highway vehicle-miles traveled (millions),Rhode Island,2016,"7,927"
Highway vehicle-miles traveled (millions),Rhode Island,2017,"8,000.980444"
Highway vehicle-miles traveled (millions),Rhode Island,2018,"8,008.582207"
Highway vehicle-miles traveled (millions),Rhode Island,2010,"8,280.220439"
Highway vehicle-miles traveled (millions),South Carolina,2010,"49,124.3352"
Highway vehicle-miles traveled (millions),South Carolina,2015,"51,726.04848"
Highway vehicle-miles traveled (millions),South Carolina,2020,"53,972.05201"
Highway vehicle-miles traveled (millions),South Carolina,2016,"54,553"
Highway vehicle-miles traveled (millions),South Carolina,2017,"55,497.23573"
Highway vehicle-miles traveled (millions),South Carolina,2018,"56,800.68275"
Highway vehicle-miles traveled (millions),South Carolina,2021,"57,491.95488"
Highway vehicle-miles traveled (millions),South Carolina,2019,"57,939.39738"
Highway vehicle-miles traveled (millions),South Carolina,2022,"58,988.37959"
Highway vehicle-miles traveled (millions),South Carolina,2023,"60,793.77943"
Highway vehicle-miles traveled (millions),South Carolina,2024,"62,042.09537"
Highway vehicle-miles traveled (millions),South Dakota,2010,"8,865.980485"
Highway vehicle-miles traveled (millions),South Dakota,2015,"9,324.353332"
Highway vehicle-miles traveled (millions),South Dakota,2016,"9,507"
Highway vehicle-miles traveled (millions),South Dakota,2017,"9,642.559371"
Highway vehicle-miles traveled (millions),South Dakota,2018,"9,719.406133"
Highway vehicle-miles traveled (millions),South Dakota,2020,"9,742.50787"
Highway vehicle-miles traveled (millions),South Dakota,2019,"9,922.399544"
Highway vehicle-miles traveled (millions),South Dakota,2021,"9,993.91073"
Highway vehicle-miles traveled (millions),South Dakota,2022,"10,169.52888"
Highway vehicle-miles traveled (millions),South Dakota,2023,"10,344.66744"
Highway vehicle-miles traveled (millions),South Dakota,2024,"10,450.14375"
Highway vehicle-miles traveled (millions),Tennessee,2010,"70,438.82433"
Highway vehicle-miles traveled (millions),Tennessee,2020,"76,392.47494"
Highway vehicle-miles traveled (millions),Tennessee,2015,"76,670.31841"
Highway vehicle-miles traveled (millions),Tennessee,2016,"76,884"
Highway vehicle-miles traveled (millions),Tennessee,2024,"78,904.4235"
Highway vehicle-miles traveled (millions),Tennessee,2018,"81,321.49097"
Highway vehicle-miles traveled (millions),Tennessee,2017,"82,253.26397"
Highway vehicle-miles traveled (millions),Tennessee,2021,"82,595.59251"
Highway vehicle-miles traveled (millions),Tennessee,2019,"82,891.77086"
Highway vehicle-miles traveled (millions),Tennessee,2022,"83,218.63924"
Highway vehicle-miles traveled (millions),Tennessee,2023,"83,404.9805"
Highway vehicle-miles traveled (millions),Texas,2010,"234,015.906"
Highway vehicle-miles traveled (millions),Texas,2015,"258,122.3092"
Highway vehicle-miles traveled (millions),Texas,2020,"260,581.9555"
Highway vehicle-miles traveled (millions),Texas,2016,"271,263"
Highway vehicle-miles traveled (millions),Texas,2017,"272,980.907"
Highway vehicle-miles traveled (millions),Texas,2018,"282,037.2651"
Highway vehicle-miles traveled (millions),Texas,2021,"285,027.6613"
Highway vehicle-miles traveled (millions),Texas,2019,"288,227.2355"
Highway vehicle-miles traveled (millions),Texas,2022,"290,890.0778"
Highway vehicle-miles traveled (millions),Texas,2023,"300,338.0345"
Highway vehicle-miles traveled (millions),Texas,2024,"308,460.7353"
Highway vehicle-miles traveled (millions),Utah,2010,"26,585.22215"
Highway vehicle-miles traveled (millions),Utah,2015,"29,603.66349"
Highway vehicle-miles traveled (millions),Utah,2020,"30,251.18348"
Highway vehicle-miles traveled (millions),Utah,2016,"31,449"
Highway vehicle-miles traveled (millions),Utah,2017,"31,475.02571"
Highway vehicle-miles traveled (millions),Utah,2018,"32,069.28791"
Highway vehicle-miles traveled (millions),Utah,2019,"32,910.67512"
Highway vehicle-miles traveled (millions),Utah,2021,"33,637.94703"
Highway vehicle-miles traveled (millions),Utah,2022,"34,336.15106"
Highway vehicle-miles traveled (millions),Utah,2023,"34,584.23285"
Highway vehicle-miles traveled (millions),Utah,2024,"36,160.23313"
Highway vehicle-miles traveled (millions),Vermont,2020,"6,006.9751"
Highway vehicle-miles traveled (millions),Vermont,2021,"6,625.05499"
Highway vehicle-miles traveled (millions),Vermont,2022,"7,127.76271"
Highway vehicle-miles traveled (millions),Vermont,2023,"7,172.47251"
Highway vehicle-miles traveled (millions),Vermont,2024,"7,208.26011"
