Measure Names,State,Year,Measure Values
Persons (thousands),Missouri,2009,"33,108"
Person trips (millions),Missouri,2009,"48,978"
Person miles (millions),Missouri,2009,"627,804"
Persons (thousands),Missouri,2017,"29,898"
Person trips (millions),Missouri,2017,"36,624"
Person miles (millions),Missouri,2017,"354,306"
Persons (thousands),Montana,2009,"5,436"
Person trips (millions),Montana,2009,"8,124"
Person miles (millions),Montana,2009,"91,788"
Persons (thousands),Montana,2017,"6,654"
Person trips (millions),Montana,2017,"7,776"
Person miles (millions),Montana,2017,"92,742"
Persons (thousands),Nebraska,2009,"9,906"
Person trips (millions),Nebraska,2009,"14,820"
Person miles (millions),Nebraska,2009,"139,284"
Persons (thousands),Nebraska,2017,"10,434"
Person trips (millions),Nebraska,2017,"13,266"
Person miles (millions),Nebraska,2017,"110,082"
Persons (thousands),Nevada,2009,"14,412"
Person trips (millions),Nevada,2009,"17,832"
Person miles (millions),Nevada,2009,"142,752"
Persons (thousands),Nevada,2017,"13,440"
Person trips (millions),Nevada,2017,"16,284"
Person miles (millions),Nevada,2017,"125,238"
Persons (thousands),New Hampshire,2009,"7,452"
Person trips (millions),New Hampshire,2009,"10,806"
Person miles (millions),New Hampshire,2009,"104,238"
Persons (thousands),New Hampshire,2017,"8,514"
Person trips (millions),New Hampshire,2017,"10,776"
Person miles (millions),New Hampshire,2017,"105,552"
Persons (thousands),New Jersey,2001,"43,326"
Person trips (millions),New Jersey,2001,"63,048"
Person miles (millions),New Jersey,2001,"504,138"
Persons (thousands),New Jersey,2009,"48,750"
Person trips (millions),New Jersey,2009,"68,424"
Person miles (millions),New Jersey,2009,"711,732"
Persons (thousands),New Jersey,2017,"53,724"
Person trips (millions),New Jersey,2017,"67,734"
Person miles (millions),New Jersey,2017,"829,356"
Persons (thousands),New Mexico,2009,"11,022"
Person trips (millions),New Mexico,2009,"16,158"
Person miles (millions),New Mexico,2009,"151,428"
Persons (thousands),New Mexico,2017,"11,022"
Person trips (millions),New Mexico,2017,"15,990"
Person miles (millions),New Mexico,2017,"141,096"
Persons (thousands),New York,2001,"111,816"
Person trips (millions),New York,2001,"149,874"
Person miles (millions),New York,2001,"1,167,888"
Persons (thousands),New York,2009,"109,692"
Person trips (millions),New York,2009,"145,686"
Person miles (millions),New York,2009,"1,031,250"
Persons (thousands),New York,2017,"112,098"
Person trips (millions),New York,2017,"134,694"
Person miles (millions),New York,2017,"1,248,378"
Persons (thousands),North Carolina,2001,"55,800"
Person trips (millions),North Carolina,2001,"85,596"
Person miles (millions),North Carolina,2001,"856,560"
Persons (thousands),North Carolina,2009,"51,420"
Person trips (millions),North Carolina,2009,"69,816"
Person miles (millions),North Carolina,2009,"701,094"
Persons (thousands),North Carolina,2017,"56,694"
Person trips (millions),North Carolina,2017,"69,456"
Person miles (millions),North Carolina,2017,"754,074"
Persons (thousands),North Dakota,2009,"3,600"
Person trips (millions),North Dakota,2009,"5,040"
Person miles (millions),North Dakota,2009,"44,028"
Persons (thousands),North Dakota,2017,"4,254"
Person trips (millions),North Dakota,2017,"5,052"
Person miles (millions),North Dakota,2017,"50,526"
Persons (thousands),Ohio,2001,"70,284"
Person trips (millions),Ohio,2001,"106,674"
Person miles (millions),Ohio,2001,"920,022"
Persons (thousands),Ohio,2009,"64,452"
Person trips (millions),Ohio,2009,"91,566"
Person miles (millions),Ohio,2009,"928,938"
Persons (thousands),Ohio,2017,"68,244"
Person trips (millions),Ohio,2017,"84,852"
Person miles (millions),Ohio,2017,"726,630"
Persons (thousands),Oklahoma,2001,"15,516"
Person trips (millions),Oklahoma,2001,"24,558"
Person miles (millions),Oklahoma,2001,"257,718"
Persons (thousands),Oklahoma,2009,"20,190"
Person trips (millions),Oklahoma,2009,"28,050"
Person miles (millions),Oklahoma,2009,"313,404"
Persons (thousands),Oklahoma,2017,"22,812"
Person trips (millions),Oklahoma,2017,"28,194"
Person miles (millions),Oklahoma,2017,"374,508"
Persons (thousands),Oregon,2001,"19,404"
Person trips (millions),Oregon,2001,"28,122"
Person miles (millions),Oregon,2001,"233,040"
Persons (thousands),Oregon,2009,"21,270"
Person trips (millions),Oregon,2009,"33,780"
Person miles (millions),Oregon,2009,"244,566"
Persons (thousands),Oregon,2017,"24,240"
Person trips (millions),Oregon,2017,"31,626"
Person miles (millions),Oregon,2017,"271,554"
Persons (thousands),Pennsylvania,2001,"74,244"
Person trips (millions),Pennsylvania,2001,"107,898"
Person miles (millions),Pennsylvania,2001,"976,734"
Persons (thousands),Pennsylvania,2009,"70,266"
Person trips (millions),Pennsylvania,2009,"98,082"
Person miles (millions),Pennsylvania,2009,"875,964"
Persons (thousands),Pennsylvania,2017,"69,492"
Person trips (millions),Pennsylvania,2017,"82,866"
Person miles (millions),Pennsylvania,2017,"829,278"
Persons (thousands),Rhode Island,2009,"5,922"
Person trips (millions),Rhode Island,2009,"7,944"
Person miles (millions),Rhode Island,2009,"70,020"
Persons (thousands),Rhode Island,2017,"6,270"
Person trips (millions),Rhode Island,2017,"7,788"
Person miles (millions),Rhode Island,2017,"60,210"
Persons (thousands),South Carolina,2001,"24,894"
Person trips (millions),South Carolina,2001,"40,626"
Person miles (millions),South Carolina,2001,"342,954"
Persons (thousands),South Carolina,2009,"25,068"
Person trips (millions),South Carolina,2009,"34,506"
Person miles (millions),South Carolina,2009,"337,488"
Persons (thousands),South Carolina,2017,"27,660"
Person trips (millions),South Carolina,2017,"33,690"
Person miles (millions),South Carolina,2017,"389,088"
Persons (thousands),South Dakota,2009,"4,476"
Person trips (millions),South Dakota,2009,"6,438"
Person miles (millions),South Dakota,2009,"57,864"
Persons (thousands),South Dakota,2017,"4,590"
Person trips (millions),South Dakota,2017,"5,772"
Person miles (millions),South Dakota,2017,"77,886"
Persons (thousands),Tennessee,2001,"31,200"
Person trips (millions),Tennessee,2001,"47,916"
Person miles (millions),Tennessee,2001,"511,902"
Persons (thousands),Tennessee,2009,"34,794"
Person trips (millions),Tennessee,2009,"46,128"
Person miles (millions),Tennessee,2009,"478,254"
Persons (thousands),Tennessee,2017,"36,306"
Person trips (millions),Tennessee,2017,"44,544"
Person miles (millions),Tennessee,2017,"567,000"
Persons (thousands),Texas,2001,"123,300"
Person trips (millions),Texas,2001,"171,480"
Person miles (millions),Texas,2001,"1,845,462"
Persons (thousands),Texas,2009,"133,800"
Person trips (millions),Texas,2009,"181,800"
Person miles (millions),Texas,2009,"1,745,196"
Persons (thousands),Texas,2017,"152,808"
Person trips (millions),Texas,2017,"182,460"
Person miles (millions),Texas,2017,"2,124,546"
Persons (thousands),Utah,2001,"11,856"
Person trips (millions),Utah,2001,"18,636"
Person miles (millions),Utah,2001,"142,314"
Persons (thousands),Utah,2009,"14,808"
Person trips (millions),Utah,2009,"22,320"
Person miles (millions),Utah,2009,"235,620"
Persons (thousands),Utah,2017,"19,686"
Person trips (millions),Utah,2017,"27,348"
Person miles (millions),Utah,2017,"216,714"
Persons (thousands),Vermont,2009,"3,534"
Person trips (millions),Vermont,2009,"4,836"
Person miles (millions),Vermont,2009,"48,048"
Persons (thousands),Vermont,2017,"4,440"
