Series,Unit,Year,Value
Propane consumed by Transportation,Billion BTUs,2017,21
Propane consumed by Transportation,Billion BTUs,2018,19
Propane consumed by Transportation,Billion BTUs,2019,16
Propane consumed by Transportation,Billion BTUs,2020,1
Propane consumed by Transportation,Billion BTUs,2021,6
Propane consumed by Transportation,Billion BTUs,2022,11
Propane consumed by Transportation,Billion BTUs,2023,11
Residual fuel oil consumed by Transportation,Billion BTUs,1960,96
Residual fuel oil consumed by Transportation,Billion BTUs,1970,851
Residual fuel oil consumed by Transportation,Billion BTUs,1980,0
Residual fuel oil consumed by Transportation,Billion BTUs,1990,869
Residual fuel oil consumed by Transportation,Billion BTUs,2000,742
Residual fuel oil consumed by Transportation,Billion BTUs,2010,212
Residual fuel oil consumed by Transportation,Billion BTUs,2015,0
Residual fuel oil consumed by Transportation,Billion BTUs,2016,0
Residual fuel oil consumed by Transportation,Billion BTUs,2017,0
Residual fuel oil consumed by Transportation,Billion BTUs,2018,0
Residual fuel oil consumed by Transportation,Billion BTUs,2019,0
Residual fuel oil consumed by Transportation,Billion BTUs,2020,0
Residual fuel oil consumed by Transportation,Billion BTUs,2021,0
Residual fuel oil consumed by Transportation,Billion BTUs,2022,0
Residual fuel oil consumed by Transportation,Billion BTUs,2023,0
Electricity consumed by Transportation,Billion BTUs,1960,0
Electricity consumed by Transportation,Billion BTUs,1970,0
Electricity consumed by Transportation,Billion BTUs,1980,0
Electricity consumed by Transportation,Billion BTUs,1990,0
Electricity consumed by Transportation,Billion BTUs,2000,0
Electricity consumed by Transportation,Billion BTUs,2010,0
Electricity consumed by Transportation,Billion BTUs,2015,0
Electricity consumed by Transportation,Billion BTUs,2016,0
Electricity consumed by Transportation,Billion BTUs,2017,0
Electricity consumed by Transportation,Billion BTUs,2018,0
Electricity consumed by Transportation,Billion BTUs,2019,0
Electricity consumed by Transportation,Billion BTUs,2020,0
Electricity consumed by Transportation,Billion BTUs,2021,0
Electricity consumed by Transportation,Billion BTUs,2022,0
Electricity consumed by Transportation,Billion BTUs,2023,0
Transportation's share of electrical system energy losses,Billion BTUs,1960,0
Transportation's share of electrical system energy losses,Billion BTUs,1970,0
Transportation's share of electrical system energy losses,Billion BTUs,1980,0
Transportation's share of electrical system energy losses,Billion BTUs,1990,0
Transportation's share of electrical system energy losses,Billion BTUs,2000,0
Transportation's share of electrical system energy losses,Billion BTUs,2010,0
Transportation's share of electrical system energy losses,Billion BTUs,2015,0
Transportation's share of electrical system energy losses,Billion BTUs,2016,0
Transportation's share of electrical system energy losses,Billion BTUs,2017,0
Transportation's share of electrical system energy losses,Billion BTUs,2018,0
Transportation's share of electrical system energy losses,Billion BTUs,2019,0
Transportation's share of electrical system energy losses,Billion BTUs,2020,0
Transportation's share of electrical system energy losses,Billion BTUs,2021,0
Transportation's share of electrical system energy losses,Billion BTUs,2022,0
Transportation's share of electrical system energy losses,Billion BTUs,2023,0
Total energy consumed by the Transportation sector,Billion BTUs,1960,"27,139"
Total energy consumed by the Transportation sector,Billion BTUs,1970,"76,386"
Total energy consumed by the Transportation sector,Billion BTUs,1980,"89,804"
Total energy consumed by the Transportation sector,Billion BTUs,1990,"168,892"
Total energy consumed by the Transportation sector,Billion BTUs,2000,"219,733"
Total energy consumed by the Transportation sector,Billion BTUs,2010,"193,271"
Total energy consumed by the Transportation sector,Billion BTUs,2015,"162,953"
Total energy consumed by the Transportation sector,Billion BTUs,2016,"153,610"
Total energy consumed by the Transportation sector,Billion BTUs,2017,"155,909"
Total energy consumed by the Transportation sector,Billion BTUs,2018,"163,853"
Total energy consumed by the Transportation sector,Billion BTUs,2019,"164,603"
Total energy consumed by the Transportation sector,Billion BTUs,2020,"164,911"
Total energy consumed by the Transportation sector,Billion BTUs,2021,"193,828"
Total energy consumed by the Transportation sector,Billion BTUs,2022,"198,746"
Total energy consumed by the Transportation sector,Billion BTUs,2023,"203,538"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,1960,"27,139"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,1970,"76,386"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,1980,"89,804"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,1990,"168,892"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2000,"219,733"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2010,"193,271"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2015,"162,953"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2016,"153,610"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2017,"155,909"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2018,"163,853"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2019,"164,603"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2020,"164,911"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2021,"193,828"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2022,"198,746"
Total energy consumed by Transportation excluding electrical system energy losses,Billion BTUs,2023,"203,538"
Total energy consumed by the commercial sector,Billion BTUs,1960,"6,592"
Total energy consumed by the commercial sector,Billion BTUs,1970,"28,705"
Total energy consumed by the commercial sector,Billion BTUs,1980,"32,854"
Total energy consumed by the commercial sector,Billion BTUs,1990,"57,482"
Total energy consumed by the commercial sector,Billion BTUs,2000,"66,776"
Total energy consumed by the commercial sector,Billion BTUs,2010,"62,668"
Total energy consumed by the commercial sector,Billion BTUs,2015,"62,345"
Total energy consumed by the commercial sector,Billion BTUs,2016,"53,891"
Total energy consumed by the commercial sector,Billion BTUs,2017,"53,602"
Total energy consumed by the commercial sector,Billion BTUs,2018,"52,109"
Total energy consumed by the commercial sector,Billion BTUs,2019,"52,027"
Total energy consumed by the commercial sector,Billion BTUs,2020,"52,392"
Total energy consumed by the commercial sector,Billion BTUs,2021,"55,766"
Total energy consumed by the commercial sector,Billion BTUs,2022,"54,796"
Total energy consumed by the commercial sector,Billion BTUs,2023,"57,041"
Total energy consumed by the electric power sector,Billion BTUs,1960,"2,480"
Total energy consumed by the electric power sector,Billion BTUs,1970,"16,059"
