Origin State,Commodity,Year,Measure Names,Measure Values
Kentucky,Pharmaceuticals,2023,Chained 2012 Value (millions of dollars),17369.833947
Kentucky,Paper articles,2023,Chained 2012 Value (millions of dollars),2624.241781
Kentucky,Other foodstuffs,2023,Chained 2012 Value (millions of dollars),7316.011167
Kentucky,Other ag prods.,2023,Chained 2012 Value (millions of dollars),2645.736579
Kentucky,Nonmetallic minerals,2023,Chained 2012 Value (millions of dollars),157.549529
Kentucky,Nonmetal min. prods.,2023,Chained 2012 Value (millions of dollars),3500.998582
Kentucky,Newsprint/paper,2023,Chained 2012 Value (millions of dollars),2369.620197
Kentucky,Natural sands,2023,Chained 2012 Value (millions of dollars),29.159109
Kentucky,Motorized vehicles,2023,Chained 2012 Value (millions of dollars),65091.044646
Kentucky,Mixed freight,2023,Chained 2012 Value (millions of dollars),19613.880838
Kentucky,Misc. mfg. prods.,2023,Chained 2012 Value (millions of dollars),8714.610534
Kentucky,Milled grain prods.,2023,Chained 2012 Value (millions of dollars),3695.869818
Kentucky,Metallic ores,2023,Chained 2012 Value (millions of dollars),202.703919
Kentucky,Meat/seafood,2023,Chained 2012 Value (millions of dollars),3370.593594
Kentucky,Machinery,2023,Chained 2012 Value (millions of dollars),32807.359789
Kentucky,Logs,2023,Chained 2012 Value (millions of dollars),645.067247
Kentucky,Live animals/fish,2023,Chained 2012 Value (millions of dollars),4102.99237
Kentucky,Gravel,2023,Chained 2012 Value (millions of dollars),584.292104
Kentucky,Gasoline,2023,Chained 2012 Value (millions of dollars),9833.39585
Kentucky,Furniture,2023,Chained 2012 Value (millions of dollars),3187.654357
Kentucky,Fuel oils,2023,Chained 2012 Value (millions of dollars),4746.121433
Kentucky,Fertilizers,2023,Chained 2012 Value (millions of dollars),137.556353
Kentucky,Electronics,2023,Chained 2012 Value (millions of dollars),32734.264148
Kentucky,Crude petroleum,2023,Chained 2012 Value (millions of dollars),156.927118
Kentucky,Coal-n.e.c.,2023,Chained 2012 Value (millions of dollars),18194.643303
Kentucky,Coal,2023,Chained 2012 Value (millions of dollars),2499.60008
Kentucky,Chemical prods.,2023,Chained 2012 Value (millions of dollars),8582.379723
Kentucky,Cereal grains,2023,Chained 2012 Value (millions of dollars),2325.107769
Kentucky,Building stone,2023,Chained 2012 Value (millions of dollars),0.498297
Kentucky,Basic chemicals,2023,Chained 2012 Value (millions of dollars),7836.427646
Kentucky,Base metals,2023,Chained 2012 Value (millions of dollars),14886.357275
Kentucky,Articles-base metal,2023,Chained 2012 Value (millions of dollars),6966.578162
Kentucky,Animal feed,2023,Chained 2012 Value (millions of dollars),2297.67867
Kentucky,Alcoholic beverages,2023,Chained 2012 Value (millions of dollars),7186.779884
